image_path,individual_name,race
black_individuals/Barack_Obama/img1.jpg,Barack Obama,Black
black_individuals/Barack_Obama/img2.jpg,Barack Obama,Black
black_individuals/Barack_Obama/img3.jpg,Barack Obama,Black
black_individuals/Barack_Obama/img4.jpg,Barack Obama,Black
black_individuals/Barack_Obama/img5.jpg,Barack Obama,Black
black_individuals/Oprah_Winfrey/img1.jpg,Oprah Winfrey,Black
black_individuals/Oprah_Winfrey/img2.jpg,Oprah Winfrey,Black
black_individuals/Oprah_Winfrey/img3.jpg,Oprah Winfrey,Black
black_individuals/Oprah_Winfrey/img4.jpg,Oprah Winfrey,Black
black_individuals/Oprah_Winfrey/img5.jpg,Oprah Winfrey,Black
black_individuals/Morgan_Freeman/img1.jpg,Morgan Freeman,Black
black_individuals/Morgan_Freeman/img2.jpg,Morgan Freeman,Black
black_individuals/Morgan_Freeman/img3.jpg,Morgan Freeman,Black
black_individuals/Morgan_Freeman/img4.jpg,Morgan Freeman,Black
black_individuals/Morgan_Freeman/img5.jpg,Morgan Freeman,Black
black_individuals/Will_Smith/img1.jpg,Will Smith,Black
black_individuals/Will_Smith/img2.jpg,Will Smith,Black
black_individuals/Will_Smith/img3.jpg,Will Smith,Black
black_individuals/Will_Smith/img4.jpg,Will Smith,Black
black_individuals/Will_Smith/img5.jpg,Will Smith,Black
black_individuals/Tyra_Banks/img1.jpg,Tyra Banks,Black
black_individuals/Tyra_Banks/img2.jpg,Tyra Banks,Black
black_individuals/Tyra_Banks/img3.jpg,Tyra Banks,Black
black_individuals/Tyra_Banks/img4.jpg,Tyra Banks,Black
black_individuals/Tyra_Banks/img5.jpg,Tyra Banks,Black
black_individuals/Denzel_Washington/img1.jpg,Denzel Washington,Black
black_individuals/Denzel_Washington/img2.jpg,Denzel Washington,Black
black_individuals/Denzel_Washington/img3.jpg,Denzel Washington,Black
black_individuals/Denzel_Washington/img4.jpg,Denzel Washington,Black
black_individuals/Denzel_Washington/img5.jpg,Denzel Washington,Black
black_individuals/Kamala_Harris/img1.jpg,Kamala Harris,Black
black_individuals/Kamala_Harris/img2.jpg,Kamala Harris,Black
black_individuals/Kamala_Harris/img3.jpg,Kamala Harris,Black
black_individuals/Kamala_Harris/img4.jpg,Kamala Harris,Black
black_individuals/Kamala_Harris/img5.jpg,Kamala Harris,Black
black_individuals/Beyonce_Knowles/img1.jpg,Beyoncé Knowles,Black
black_individuals/Beyonce_Knowles/img2.jpg,Beyoncé Knowles,Black
black_individuals/Beyonce_Knowles/img3.jpg,Beyoncé Knowles,Black
black_individuals/Beyonce_Knowles/img4.jpg,Beyoncé Knowles,Black
black_individuals/Beyonce_Knowles/img5.jpg,Beyoncé Knowles,Black
black_individuals/Viola_Davis/img1.jpg,Viola Davis,Black
black_individuals/Viola_Davis/img2.jpg,Viola Davis,Black
black_individuals/Viola_Davis/img3.jpg,Viola Davis,Black
black_individuals/Viola_Davis/img4.jpg,Viola Davis,Black
black_individuals/Viola_Davis/img5.jpg,Viola Davis,Black
black_individuals/Chadwick_Boseman/img1.jpg,Chadwick Boseman,Black
black_individuals/Chadwick_Boseman/img2.jpg,Chadwick Boseman,Black
black_individuals/Chadwick_Boseman/img3.jpg,Chadwick Boseman,Black
black_individuals/Chadwick_Boseman/img4.jpg,Chadwick Boseman,Black
black_individuals/Chadwick_Boseman/img5.jpg,Chadwick Boseman,Black
